gene_id	gene_name	USA100_N315_Biofilm_10h_1	USA100_N315_Biofilm_10h_2	USA100_N315_Biofilm_10h_3	USA100_N315_Biofilm_10h_4	USA100_N315_Biofilm_24h_1	USA100_N315_Biofilm_24h_2	USA100_N315_Biofilm_24h_3	USA100_N315_Biofilm_24h_4	USA100_N315_Biofilm_24h_5	USA100_N315_Biofilm_24h_6	USA100_N315_Biofilm_24h_7	USA100_N315_Biofilm_24h_8	USA100_N315_Biofilm_5h_1	USA100_N315_Biofilm_5h_2	USA100_N315_Biofilm_5h_3	USA100_N315_Biofilm_5h_4	USA100_N315_Planktonic_10h_1	USA100_N315_Planktonic_10h_2	USA100_N315_Planktonic_10h_3	USA100_N315_Planktonic_10h_4	USA100_N315_Planktonic_24h_1	USA100_N315_Planktonic_24h_2	USA100_N315_Planktonic_24h_3	USA100_N315_Planktonic_24h_4	USA100_N315_Planktonic_24h_5	USA100_N315_Planktonic_24h_6	USA100_N315_Planktonic_24h_7	USA100_N315_Planktonic_24h_8	USA100_N315_Planktonic_5h_1	USA100_N315_Planktonic_5h_2	USA100_N315_Planktonic_5h_3	USA100_N315_Planktonic_5h_4
SA_RS00005	SA_RS00005	814.316	812.697	811.804	813.249	835.115	834.627	835.282	835.051	835.106	835.408	835.151	835.111	817.118	816.73	817.59	816.913	786.563	783.255	784.196	786.825	811.847	812.518	811.987	812.019	812.269	812.027	811.582	811.771	821.595	821.299	821.831	822.19
SA_RS00010	SA_RS00010	523.316	521.697	520.804	522.249	544.115	543.627	544.282	544.051	544.106	544.408	544.151	544.111	526.118	525.73	526.59	525.913	495.563	492.255	493.196	495.825	520.847	521.518	520.987	521.019	521.269	521.027	520.582	520.771	530.595	530.299	530.831	531.19
SA_RS00015	SA_RS00015	54.157	54.147	53.755	53.995	64.296	64.253	55.6091553719961	64.24	64.317	64.517	64.382	64.271	54.845	54.668	54.8	54.616	46.99	46.561	46.791	46.832	55.058	55.149	55.113	55.109	55.144	55.087	54.866	54.953	54.658	54.451	54.746	54.762
SA_RS00020	SA_RS00020	448.316	446.697	445.804	447.249	469.115	468.627	469.282	469.051	469.106	469.408	469.151	469.111	451.118	450.73	451.59	450.913	420.563	417.255	418.196	420.825	445.847	446.518	445.987	446.019	446.269	446.027	445.582	445.771	455.595	455.299	455.831	456.19
SA_RS00025	SA_RS00025	180.548	179.544	178.839	179.813	200.214	199.906	200.395	200.11	183.143909154927	200.554	200.293	200.295	183.591	183.241	183.863	183.334	156.839	154.929	183.143909154927	157.136	179.517	180.048	179.585	179.65	179.83	179.603	179.313	179.401	187.582	183.143909154927	187.664	187.95
SA_RS00030	SA_RS00030	802.316	800.697	799.804	801.249	823.115	822.627	823.282	823.051	823.106	823.408	823.151	823.111	805.118	804.73	805.59	804.913	774.563	771.255	772.196	774.825	799.847	800.518	799.987	800.019	800.269	800.027	799.582	799.771	809.595	809.299	809.831	810.19
SA_RS00035	SA_RS00035	250.693	249.27	248.396	249.7	271.321	270.876	271.486	271.246	271.324	271.614	271.387	271.373	253.691	253.343	254.139	253.489	223.763	220.918	221.679	223.972	248.775	249.424	248.914	248.868	249.118	248.892	248.567	248.624	252.064397568549	252.064397568549	258.434	252.064397568549
SA_RS00040	SA_RS00040	676.316	674.697	673.804	675.249	697.115	696.627	697.282	697.051	697.106	697.408	697.151	697.111	679.118	678.73	679.59	678.913	648.563	645.255	646.196	648.825	673.847	674.518	673.987	674.019	674.269	674.027	673.582	673.771	683.595	683.299	683.831	684.19
SA_RS00045	SA_RS00045	1588.316	1586.697	1585.804	1587.249	1609.115	1608.627	1609.282	1609.051	1609.106	1609.408	1609.151	1609.111	1591.118	1590.73	1591.59	1590.913	1560.563	1557.255	1558.196	1560.825	1585.847	1586.518	1585.987	1586.019	1586.269	1586.027	1585.582	1585.771	1595.595	1595.299	1595.831	1596.19
SA_RS00050	SA_RS00050	212.382	211.161	210.38	211.492	232.682	232.253	232.819	232.568	232.662	232.956	232.709	232.702	215.416	215.063	215.805	215.21	186.728	184.379	184.977	186.976	210.813	211.447	210.96	210.992	211.176	210.929	210.677	210.743	219.786	219.432	219.873	220.195
